"Frist Name","Last Name","Hire Date"
"Rosli","Papsdorf","9/9/1986"
"Goo","Cronin","7/8/1986"
"Shawna","Reinhart","1/1/1986"
"Arvind","Gornas","4/7/1986"
"Niranjan","Khamsi","2/2/1986"
"Fuqing","Zaiane","6/4/1986"
"Maik","Jahnichen","9/6/1986"
"Alair","Hiroyama","3/1/1986"
"Arto","Penz","5/4/1986"
"Masali","Hagimont","3/9/1986"
"Nahla","Tchuente","6/9/1986"
"Yannis","Karunanithi","3/6/1986"
"Kristen","Ermel","1/8/1986"
"Kensyu","Jenevein","6/7/1986"
"Richard","Mandelberg","2/9/1986"
"Katsuo","Demke","8/1/1986"
"Kenton","Bharadwaj","7/3/1986"
"Sadegh","Daescu","6/6/1986"
"Sanjiv","Zschoche","2/4/1986"
"Mona","Melter","5/1/1986"
"Zengping","Gargeya","1/2/1986"
"Breannda","Schlumberger","4/6/1986"
"Garnik","Nourani","9/3/1986"
"Jaques","Hagimont","6/1/1986"
"Ennio","Straney","5/8/1986"
"Shai","Pluym","9/1/1986"
"Shahar","Dredge","1/3/1986"
"Ekawit","Bahk","5/9/1986"
"Foong","Bala","1/3/1986"
"Odinaldo","Asser","2/7/1986"
"Mona","Ramamoorthy","7/3/1986"
"Remko","Kroll","2/1/1986"
"Arunachalam","Roison","4/9/1986"
"Shahid","Oppitz","4/7/1986"
"Shigeo","Kropp","7/3/1986"
"Shigeichiro","Ulupinar","3/7/1986"
"Miyeon","Matzat","1/8/1986"
"Shuho","Lung","6/2/1986"
"Mayumi","Wilharm","7/3/1986"
"Hitofumi","Kriebel","3/1/1986"
"Turgut","Gide","7/7/1986"
"Ulises","Camurati","5/8/1986"
"Mikhail","Solares","8/2/1986"
"Sachin","Shackel","6/4/1986"
"Prodip","Tischendorf","8/5/1986"
"Ramalingam","Gunderson","5/4/1986"
"Aamod","Frolund","5/2/1986"
"Yolla","Swist","4/2/1986"
"Fei","Reghbati","3/8/1986"
"Berni","Sridhar","2/8/1986"
"Hairong","Markovitch","6/6/1986"
"Ung","McFarlin","3/8/1986"
"Mohua","Zultner","3/3/1986"
"Mingsen","Roohalamini","6/2/1986"
"Yinghua","Ossenbruggen","6/8/1986"
"Avishai","Comte","4/8/1986"
"Armond","Badr","1/5/1986"
"Leif","Zhang","3/2/1986"
"Aloke","Schwabacher","2/2/1986"
"Maren","Peek","7/7/1986"
"Randi","Jiang","1/7/1986"
"Geoffry","Ambroszkiewicz","6/9/1986"
"Menkae","Haddadi","9/7/1986"
"Kiam","Ishibashi","5/9/1986"
"Yongdong","Radhakrishnan","8/5/1986"
"Nikolaos","Thombley","4/6/1986"
"Rafail","Dulay","3/5/1986"
"Nobuyoshi","Yetto","4/5/1986"
"Boaz","Hardjono","6/8/1986"
"Baziley","Sethi","7/5/1986"
"Toshimitsu","Eppinger","4/6/1986"
"Vitaly","Bolsens","3/8/1986"
"Gino","Seuren","1/9/1986"
"Tetsushi","Erni","3/9/1986"
"Candido","Dichev","7/7/1986"
"Lubomir","Syang","8/1/1986"
"Aloke","Jiang","1/3/1986"
"Kokou","Brender","3/4/1986"
"Nechama","McAlpine","4/6/1986"
"Laurentiu","Kornatzky","5/7/1986"
"Mircea","Tibblin","2/2/1986"
"Mingdong","Demian","3/9/1986"
"Gregory","Matzel","6/1/1986"
"Peer","McConalogue","5/7/1986"
"Kousuke","Farrar","6/7/1986"
"Kenton","Panienski","4/5/1986"
"Kokou","Birjandi","5/9/1986"
"Wilmer","Zallocco","4/8/1986"
"Yinghua","Thimonier","7/6/1986"
"Tetsurou","Puppe","9/2/1986"
"Gay","Botman","5/9/1986"
"Valdiodio","Pepe","3/8/1986"
"Jacopo","Cheshire","9/2/1986"
"Hideo","Buchter","5/2/1986"
"Gil","Soicher","1/7/1986"
"Rosalyn","Melski","2/6/1986"
"Samphel","Farrel","2/7/1986"
"Tetsushi","England","7/5/1986"
"Vasilii","Bauknecht","6/9/1986"
"Mrinalini","Laventhal","5/4/1986"
"Fumitake","Murtafg","6/5/1986"
"Khaled","Beilner","9/2/1986"
"Shaowen","Farrag","3/6/1986"
"Sakthirel","Belinskaya","3/3/1986"
"Toshiki","Cullers","7/3/1986"
"Aral","Pulkowski","9/2/1986"
"Apostol","Hebert","9/5/1986"
"Lunjin","Assaf","2/1/1986"
"Jianhua","Munoz","3/9/1986"
"Shaunak","Versino","2/3/1986"
"Narain","Biros","6/2/1986"
"Nahid","Bierbaum","9/2/1986"
"Sarita","Peris","6/2/1986"
"Zeljko","Walstra","2/7/1986"
"Takahiro","Naumovich","2/3/1986"
"Sastry","Junet","7/2/1986"
"Jeanna","Gruenwald","8/4/1986"
"Emdad","Luders","2/4/1986"
"Shigeichiro","Chenney","2/2/1986"
"Honglan","Cannard","5/6/1986"
"Kotesh","Calkin","9/7/1986"
"Heekeun","Rehfuss","4/4/1986"
"Shahab","Fioravanti","6/5/1986"
"Byong","Zobel","7/4/1986"
"Torsten","Erdmenger","5/2/1986"
"Khalid","Dahlbom","1/2/1986"
"Indrajit","Swiler","8/5/1986"
"Paloma","Ruemmler","3/2/1986"
"Jianhao","Ghalwash","8/5/1986"
"Pranav","Chaudhuri","4/8/1986"
"Franziska","Kornatzky","5/4/1986"
"Conrado","Callaway","3/2/1986"
"Sajjad","Erez","7/1/1986"
"Radhakrishnan","Cooley","8/8/1986"
"Feixiong","Brender","2/8/1986"
"Munehiro","Bugaenko","3/1/1986"
"Qingxiang","Brickell","3/4/1986"
"Alagu","Auyong","9/4/1986"
"Gianluca","Mitina","6/6/1986"
"Flemming","Papsdorf","3/5/1986"
"Pintsang","Backhouse","7/2/1986"
"Pintsang","Serre","3/6/1986"
"Serap","Vernadat","6/6/1986"
"Fatemeh","Conta","5/5/1986"
"JoAnne","Krider","9/1/1986"
"Marjo","Reinhart","9/6/1986"
"Zhigen","Codenie","7/7/1986"
"Geraldo","Schueller","4/8/1986"
"Boutros","Steenbeek","8/9/1986"
"Lijia","Figueira","8/8/1986"
"Greger","Rehfuss","2/6/1986"
"Weicheng","Litvinov","3/8/1986"
"Ger","Baez","2/8/1986"
"Ohad","Gini","6/9/1986"
"Heon","Spataro","4/5/1986"
"Khaled","Schahn","1/9/1986"
"Fumiyo","Gunderson","7/8/1986"
"Xinan","Marrakchi","9/8/1986"
"Marl","Erev","7/9/1986"
"Bilhanan","Gornas","7/3/1986"
"Shaunak","Solares","4/8/1986"
"Tetsurou","Heyers","5/7/1986"
"Teruyuki","Syrotiuk","7/5/1986"
"Abdelkader","Marrakchi","1/1/1986"
"Tristan","Borovoy","1/5/1986"
"Tadanori","Kaelbling","5/5/1986"
"Badri","Erol","7/9/1986"
"Mahmut","Copas","2/1/1986"
"Jaques","Famili","6/5/1986"
"Eberhardt","Iwayama","6/4/1986"
"Tremaine","Dymetman","3/6/1986"
"Zhilian","Sgarro","9/8/1986"
"Candido","Ritcey","5/3/1986"
"Hein","Giaccio","8/9/1986"
"Alain","Zykh","3/2/1986"
"Dannz","Busillo","3/7/1986"
"Kish","Rosti","7/7/1986"
"Nikolaos","Begiun","7/9/1986"
"Masali","Scharstein","7/4/1986"
"Guangming","Deville","5/6/1986"
"Yishai","Hutton","3/7/1986"
"Xiaoqiang","Feldhoffer","8/4/1986"
"Anestis","Furudate","2/5/1986"
"Shimshon","Miyakawa","9/5/1986"
"Kaijung","Krzyzanowski","6/9/1986"
"Gian","Benzmuller","5/8/1986"
"Uno","Kawashima","4/2/1986"
"Zongyan","Prochazka","4/3/1986"
"Duro","Sidhu","3/1/1986"
"Ebbe","Beetstra","3/5/1986"
"Anyuan","Renear","8/2/1986"
"Ekawit","Gaughan","5/1/1986"
"Mani","Bahi","8/5/1986"
"Fumiya","Lanphier","3/4/1986"
"Pranas","Staelin","7/6/1986"
"Alexius","Wrigley","8/2/1986"
"Claude","Liedekerke","5/1/1986"
"Saeko","Staylopatis","6/7/1986"
"Florian","Edelhoff","5/6/1986"
"Uma","Kleiser","5/6/1986"
"Moto","Ushiama","2/5/1986"
"Ewing","Lortz","9/1/1986"
"Turgut","Gelosh","7/1/1986"
"Krassimir","Dulay","8/4/1986"
"Iara","Beznosov","4/2/1986"
"Guangming","Journel","6/6/1986"
"Baziley","Farrag","7/7/1986"
"Hatem","Bierbaum","5/2/1986"
"Mohamadou","Hettesheimer","6/8/1986"
"Leen","Rattan","7/6/1986"
"Angel","Angot","6/6/1986"
"Anoosh","Fabrizio","2/8/1986"
"Lobel","Vieth","7/6/1986"
"Debaprosad","Skafidas","7/7/1986"
"Jouko","Dichev","2/5/1986"
"Vatsa","Lunn","5/6/1986"
"Mingdong","Kaelbling","4/5/1986"
"Angel","Irland","6/7/1986"
"Shichao","Chinen","7/8/1986"
"Aloke","Lorie","8/1/1986"
"Sanjoy","Khamsi","2/2/1986"
"Ramzi","Sidhu","5/4/1986"
"Mrinalini","Orsini","5/5/1986"
"Remco","Hashii","7/3/1986"
"Uinam","Iwayama","2/6/1986"
"Vincent","Guting","9/6/1986"
"JoAnna","Neimat","2/2/1986"
"Suzette","Sewelson","4/6/1986"
"Alassane","Rassart","9/9/1986"
"Maha","Escriba","2/1/1986"
"Elvis","Petereit","8/2/1986"
"Owen","Zyda","2/4/1986"
"Prodip","Hiltgen","1/4/1986"
"Shaunak","Baezner","2/4/1986"
"Xinglin","Perelgut","1/6/1986"
"Hironoby","Walstra","2/9/1986"
"Masaki","Menhoudj","9/7/1986"
"Aluzio","Lung","3/7/1986"
"Amalendu","Merks","7/1/1986"
"Holgard","Koprowski","3/7/1986"
"Kolar","Trelles","3/4/1986"
"Ramachenga","Cullers","4/1/1986"
"Lena","Escriba","2/1/1986"
"Gopalakrishnan","Prenel","1/8/1986"
"Oscar","Syang","4/6/1986"
"Perla","Ecklund","5/7/1986"
"Dines","Vasanthakumar","3/9/1986"
"Constantino","Murillo","3/8/1986"
"Xinan","Hasham","5/2/1986"
"Tzvetan","Ghandeharizadeh","2/5/1986"
"Martien","Piancastelli","2/5/1986"
"Jiakeng","Awdeh","2/2/1986"
"Phillip","Zhiwei","2/4/1986"
"Khue","Sanella","3/2/1986"
"Sumant","Stemann","1/1/1986"
"Gennady","Roohalamini","2/3/1986"
"Abdulla","Munck","1/8/1986"
"Kensei","Hutton","9/4/1986"
"Aloys","Schiper","4/9/1986"
"Adly","Hoppenstand","2/5/1986"
"Gopalakrishnan","Fraisse","2/7/1986"
"Honglan","Setlzner","8/5/1986"
"Yagil","Swist","2/9/1986"
"Yishay","Nitto","4/5/1986"
"Marjo","Lores","9/5/1986"
"Lokesh","Berztiss","2/1/1986"
"Gunilla","Gyimothy","2/1/1986"
"Ronnie","Bage","8/5/1986"
"Anwar","Atrawala","6/6/1986"
"Arunachalam","Chaudhury","8/1/1986"
"Vasilis","Eterovic","2/7/1986"
"Jouko","Krupka","5/1/1986"
"Tzvetan","Murtha","2/8/1986"
"Josyula","Highland","1/3/1986"
"Sigeru","Baez","7/1/1986"
"Lansing","Milicic","6/8/1986"
"Utz","Peral","8/2/1986"
"Mingsen","Binding","9/4/1986"
"Tonia","Mersereau","6/3/1986"
"Gio","Gornas","8/5/1986"
"Christoper","Plump","2/5/1986"
"Huei","Ressouche","5/7/1986"
"Jaihie","Morrow","4/4/1986"
"Ulises","Unni","6/2/1986"
"Jovan","Bierman","5/5/1986"
"Tooru","Vieri","6/2/1986"
"Gretta","Miake","7/9/1986"
"Niteen","Gluchowski","2/4/1986"
"Moni","Shobatake","2/3/1986"
"Koichi","Cooke","5/9/1986"
"Volkmar","Schusler","6/9/1986"
"Kazuhiro","Comte","5/6/1986"
"Aiichiro","Maginnis","5/4/1986"
"Shan","Alblas","9/6/1986"
"Vishu","Copas","6/6/1986"
"Adib","Halevi","3/5/1986"
"Bojan","Wilharm","8/1/1986"
"Zhensheng","Burnard","5/2/1986"
"Fun","Bottner","4/2/1986"
"Arch","Parveen","5/5/1986"
"Haldon","Waterhouse","9/1/1986"
"Tadanori","Tsukuda","9/3/1986"
"Sudhanshu","Kroll","3/3/1986"
"Larisa","Tasistro","8/6/1986"
"Huai","Gluchowski","9/4/1986"
"Gay","Birdsall","9/6/1986"
"Jianhao","Thisen","5/8/1986"
"Lenore","Glinert","5/8/1986"
"Seshu","Fendler","9/3/1986"
"Shridhar","Perelgut","9/7/1986"
"Randy","Poujol","1/4/1986"
"Shietung","Dayang","5/5/1986"
"Baoqiu","Hellwagner","9/3/1986"
"Perry","Lubachevsky","1/9/1986"
"Siamak","Speckmann","1/5/1986"
"Tomofumi","Gide","4/1/1986"
"Rosella","Ouhyoung","9/1/1986"
"Izaskun","Kuzuoka","9/5/1986"
"Martine","Gips","1/7/1986"
"Mostafa","Swen","6/8/1986"
"Abdelaziz","Fontan","1/5/1986"
"Eishiro","Nitta","3/9/1986"
"Marsha","Magliocco","6/3/1986"
"Satyanarayana","Murthy","6/9/1986"
"Anoosh","Stasinski","1/8/1986"
"Heping","Olivero","1/7/1986"
"Uta","Piveteau","6/7/1986"
"Lena","Kieras","8/5/1986"
"Serif","Navazio","5/1/1986"
"Sandeepan","Hemaspaandra","6/8/1986"
"Jiafu","Mateescu","2/2/1986"
"Rutger","Braccini","5/6/1986"
"Francoise","Gente","1/6/1986"
"Nikolaos","Hegner","2/4/1986"
"Anwar","Rossi","6/5/1986"
"Gilbert","Gadepally","9/1/1986"
"Syozo","Schneeberger","8/7/1986"
"Weijing","Camarinopoulos","3/4/1986"
"Shigehito","Karlin","4/5/1986"
"Sasan","Kemmerer","1/3/1986"
"Radhika","Suwa","6/4/1986"
"Adin","Conta","5/5/1986"
"Valter","Reghbati","6/4/1986"
"Bernd","Stemann","9/7/1986"
"Jongsuk","Sidou","4/5/1986"
"Olivera","Lamba","8/2/1986"
"Shawna","Kakkad","2/5/1986"
"Uli","Camarinopoulos","8/3/1986"
"Aloys","Oxenboll","5/4/1986"
"Owen","Crouzet","2/5/1986"
"KayLiang","Braunmuhl","5/8/1986"
"Subhankar","Binkley","6/7/1986"
"Ibibia","Zultner","6/6/1986"
"Kwok","Kranzdorf","1/6/1986"
"Gudjon","Birta","4/4/1986"
"Zita","Asrin","6/7/1986"
"Xiaobin","Velardi","7/1/1986"
"Wanqing","Burnard","6/3/1986"
"Koldo","Driscoll","4/4/1986"
"Miquel","Serre","5/7/1986"
"Anwar","Servieres","8/5/1986"
"Younwoo","Andreotta","5/3/1986"
"Gou","Rosin","1/8/1986"
"Moheb","Rosin","1/6/1986"
"Martina","Ciolek","3/7/1986"
"Vitali","Kadhim","1/5/1986"
"Along","Garnick","8/2/1986"
"Neven","Woycyznski","6/4/1986"
"Xiahua","Acton","7/7/1986"
"Ung","Caine","2/4/1986"
"Boguslaw","Pettey","3/7/1986"
"Zhiwei","Ossenbruggen","9/5/1986"
"Heeju","Prochazka","4/4/1986"
"Jinpo","Harnett","8/5/1986"
"Ewing","Pluym","3/4/1986"
"Baziley","Jullig","9/4/1986"
"Lijia","Khalid","9/8/1986"
"Shigehito","Alpin","5/4/1986"
"Patricia","Shrader","8/8/1986"
"Teunis","Felder","1/3/1986"
"Kish","Karlin","7/3/1986"
"Martina","Taneja","1/3/1986"
"Kristof","Underwood","4/4/1986"
"Lucian","Kolinko","5/5/1986"
"Rafael","Castellani","5/6/1986"
"Geoffrey","Mawatari","2/4/1986"
"Arunas","Hertweck","1/8/1986"
"Susuma","Peek","3/9/1986"
"Kiam","Serna","5/3/1986"
"JoAnna","Krone","4/7/1986"
"Ulises","Schwartzbauer","3/9/1986"
"Elzbieta","Zizka","6/4/1986"
"Kwun","Serot","6/2/1986"
"Qiwen","Schade","4/6/1986"
"Tzu","Stille","3/3/1986"
"Ramachenga","Savasere","8/6/1986"
"Vasilis","Delaune","8/5/1986"
"Uwe","Swick","1/2/1986"
"Leif","Rubsam","5/5/1986"
"Takahito","Claffy","2/3/1986"
"Apostol","Ritzmann","1/5/1986"
"Radhakrishnan","Rosti","1/7/1986"
"Petter","Picci","9/8/1986"
"Genevieve","Etalle","1/4/1986"
"Adil","Pehl","7/6/1986"
"Chaitali","Scallan","3/8/1986"
"Aloys","Nannarelli","6/8/1986"
"Luerbio","Lowrie","2/2/1986"
"Shahaf","Imataki","6/6/1986"
"Ramya","Passafiume","8/9/1986"
"Behnaam","Thibadeau","2/4/1986"
"Shirish","Rodite","2/1/1986"
"Ute","Lunn","1/4/1986"
"Abdelwaheb","Holburn","9/1/1986"
"Fumitake","Comyn","2/1/1986"
"Aloys","Gopalakrishnan","8/6/1986"
"Sorina","Terekhov","8/3/1986"
"Ewing","Pokrovskii","5/2/1986"
"Uta","Butner","6/8/1986"
"Berthier","Rajaraman","1/4/1986"
"Jaques","Chinin","4/1/1986"
"Arch","Ladret","3/3/1986"
"Sudhanshu","Pocchiola","3/7/1986"
"Paraskevi","Sifakis","9/6/1986"
"Georgy","Pietrzykowski","7/5/1986"
"Taiji","Masada","1/3/1986"
"Yinlin","Imataki","6/9/1986"
"Sanjeeva","Karnin","7/2/1986"
"Aleksander","McConalogue","8/3/1986"
"Guadalupe","Pavlopoulou","3/1/1986"
"Salvador","Thummel","2/7/1986"
"Yechezkel","Narwekar","7/1/1986"
"Sandeepan","Plesums","2/6/1986"
"Goa","Munro","3/5/1986"
"Moriyoshi","Jeansoulin","5/7/1986"
"Gil","Stentiford","2/9/1986"
"Mohamadou","Maquelin","3/5/1986"
"Morris","Schoegge","4/6/1986"
"Sham","Stassinopoulos","5/2/1986"
"Arunachalam","Percebois","4/6/1986"
"Kolar","Milicic","2/1/1986"
"Kwok","Murtha","5/2/1986"
"Rutger","Vrecion","4/4/1986"
"Make","Tokunaga","5/9/1986"
"Arif","Wegerle","2/1/1986"
"Froduald","Veccia","2/3/1986"
"Serenella","Rikino","2/7/1986"
"Srinidhi","Prenel","9/1/1986"
"Mrinalini","Pocchiola","9/5/1986"
"Bowen","Nishimukai","4/2/1986"
"Marie","Ratnakar","7/1/1986"
"Juichirou","Chachaty","1/6/1986"
"Luerbio","Maquelin","3/1/1986"
"Khalid","Basawa","5/5/1986"
"Luise","Sudbeck","3/5/1986"
"Masamitsu","Lenart","9/2/1986"
"Gill","Ernst","2/9/1986"
"Francoise","Deville","2/7/1986"
"Manton","Ranum","7/4/1986"
"Sergi","Solares","9/8/1986"
"Remmert","Schahn","9/6/1986"
"Marek","Narlikar","1/4/1986"
"Mori","Barriga","5/3/1986"
"Ayonca","Cochrane","5/9/1986"
"Moni","Marakhovsky","6/9/1986"
"Muzhong","Hiltgen","2/7/1986"
"Kazuhisa","Alpay","5/4/1986"
"King","Benveniste","6/4/1986"
"Koldo","Piancastelli","8/4/1986"
"Kankanahalli","Teitelbaum","9/1/1986"
"Remzi","Fordan","7/8/1986"
"Bernardo","Gniady","8/6/1986"
"Sumant","Siepmann","4/2/1986"
"Danae","Nyanchama","1/1/1986"
"Kazuhito","Assaf","1/6/1986"
"Panayotis","Stasinski","5/6/1986"
"Kristine","Unni","1/8/1986"
"Atreye","Schapire","5/3/1986"
"Niclas","Burnard","8/3/1986"
"Bedir","Vanwelkenhuysen","1/1/1986"
"Kiyokazu","Schapiro","9/7/1986"
"Mohammad","Staylopatis","6/1/1986"
"Jaroslava","Waterhouse","2/7/1986"
"Yurii","Selvestrel","4/7/1986"
"Wuxu","Angelopoulos","9/3/1986"
"Arunachalam","Gien","2/9/1986"
"Dulce","Lunt","2/3/1986"
"Alper","Manderick","7/7/1986"
"Jackson","Gecsel","1/5/1986"
"Bodh","Tyugu","6/4/1986"
"Margo","Denti","7/4/1986"
"Subhash","Wendorf","2/7/1986"
"Tesuro","Silva","7/4/1986"
"Mooi","Sessa","1/5/1986"
"Rasiah","Luft","2/9/1986"
"Aamod","Suri","7/5/1986"
"Maik","Merlo","6/2/1986"
"Sangeeta","Rothe","9/1/1986"
"Florina","Georgatos","7/2/1986"
"Subhrajyoti","Shigei","1/9/1986"
"Masoud","Brookman","1/2/1986"
"Jianwen","Plessier","9/8/1986"
"Cedric","Tanemo","7/7/1986"
"Narain","Denos","4/6/1986"
"Dhritiman","Kakkar","4/4/1986"
"Jianwen","Radwan","9/3/1986"
"Jianhua","Fritzsche","3/3/1986"
"Erez","Gini","7/6/1986"
"Byong","Taneja","3/7/1986"
"Conal","Lovengreen","7/8/1986"
"Ayakannu","Perin","8/8/1986"
"Serif","Salverda","3/7/1986"
"Ortrun","Heuter","1/3/1986"
"Shaw","Solares","9/3/1986"
